x,y,type,temp,stress
378.87,3.3216,,,
379.42,3.326,,,
379.69,3.328,,,
380.1,3.3309,,,
380.61,3.3343,,,
381.07,3.3376,,,
381.97,3.3458,,,
382.56,3.3487,,,
383.11,3.3537,,,
383.66,3.358,,,
383.91,3.3594,,,
384.16,3.3617,,,
384.41,3.364,,,
384.89,3.3672,,,
385.28,3.3699,,,
385.98,3.3748,,,
386.31,3.3778,,,
386.61,3.3804,,,
387,3.3825,,,
387.63,3.3875,,,
388.46,3.3937,,,
388.76,3.3956,,,
389.05,3.3972,,,
389.52,3.4007,,,
389.9,3.4041,,,
390.22,3.4071,,,
390.55,3.4082,,,
391.33,3.4148,,,
391.6,3.4169,,,
392.32,3.422,,,
392.59,3.424,,,
392.85,3.4263,,,
393.24,3.4291,,,
393.65,3.4323,,,
394.05,3.4355,,,
394.3,3.4372,,,
394.75,3.44,,,
395.07,3.4421,,,
395.64,3.4468,,,
395.97,3.4492,,,
396.47,3.4528,,,
397.22,3.4588,,,
397.57,3.461,,,
398.23,3.466,,,
398.63,3.4688,,,
399.21,3.4732,,,
399.63,3.4763,,,
399.89,3.4784,,,
400.34,3.4818,,,
400.59,3.484,,,
401,3.4857,,,
401.83,3.4921,,,
402.21,3.4941,,,
402.7,3.4975,,,
403.11,3.5004,,,
403.58,3.5041,,,
403.9,3.5059,,,
404.45,3.5094,,,
404.93,3.5132,,,
405.2,3.5147,,,
405.53,3.5165,,,
406.02,3.5203,,,
406.52,3.5237,,,
406.97,3.5268,,,
407.39,3.53,,,
407.9,3.5339,,,
408.25,3.5369,,,
408.5,3.5379,,,
409.44,3.5455,,,
410.07,3.5496,,,
410.32,3.5517,,,
410.86,3.556,,,
411.26,3.5589,,,
411.84,3.5641,,,
412.19,3.566,,,
412.76,3.5697,,,
413.19,3.5732,,,
413.68,3.5776,,,
414.03,3.5799,,,
414.36,3.5821,,,
414.96,3.5867,,,
415.48,3.5904,,,
415.84,3.5931,,,
416.33,3.5969,,,
416.68,3.5996,,,
417.18,3.6032,,,
417.6,3.6058,,,
418.16,3.6106,,,
418.48,3.613,,,
418.8,3.6153,,,
419.23,3.618,,,
419.48,3.6198,,,
419.75,3.6217,,,
420.05,3.6252,,,
420.37,3.6263,,,
420.77,3.6296,,,
421.08,3.6318,,,
421.53,3.6352,,,
422.09,3.6403,,,
422.37,3.6419,,,
422.84,3.6449,,,
423.29,3.6487,,,
423.55,3.6504,,,
423.8,3.6527,,,
424.05,3.654,,,
424.35,3.6562,,,
424.67,3.6584,,,
424.92,3.6598,,,
425.42,3.6639,,,
425.71,3.666,,,
426.02,3.6674,,,
426.32,3.67,,,
426.86,3.6739,,,
427.12,3.6763,,,
427.56,3.6791,,,
427.84,3.6807,,,
428.33,3.685,,,
428.66,3.6873,,,
429.21,3.6913,,,
429.46,3.6937,,,
429.78,3.6952,,,
430.04,3.6971,,,
430.56,3.7012,,,
430.93,3.7039,,,
431.66,3.7095,,,
432.01,3.7127,,,
432.31,3.7147,,,
432.76,3.7177,,,
433.15,3.7213,,,
433.45,3.7243,,,
433.85,3.7264,,,
434.38,3.7303,,,
434.82,3.7342,,,
435.3,3.7368,,,
435.68,3.7404,,,
436.35,3.7451,,,
436.93,3.7492,,,
437.24,3.7524,,,
437.64,3.7549,,,
438,3.7574,,,
438.32,3.7591,,,
438.9,3.7645,,,
439.22,3.7668,,,
439.47,3.7682,,,
440.19,3.7735,,,
440.46,3.7755,,,
440.72,3.7774,,,
441.02,3.7799,,,
441.29,3.7824,,,
441.77,3.7845,,,
442.09,3.7871,,,
442.59,3.7916,,,
442.92,3.7934,,,
443.51,3.7982,,,
443.91,3.8012,,,
444.24,3.8035,,,
444.59,3.8056,,,
444.96,3.8083,,,
445.28,3.8107,,,
445.53,3.8132,,,
446.04,3.8169,,,
446.4,3.8201,,,
446.66,3.8216,,,
447.18,3.8248,,,
447.5,3.8269,,,
448.03,3.8317,,,
448.41,3.8339,,,
448.86,3.8371,,,
449.18,3.8391,,,
450.18,3.8463,,,
450.7,3.851,,,
450.98,3.8529,,,
451.27,3.855,,,
451.72,3.8574,,,
452.25,3.8621,,,
452.5,3.8639,,,
452.94,3.8677,,,
453.24,3.8701,,,
453.67,3.8737,,,
453.94,3.875,,,
454.37,3.8789,,,
454.8,3.8818,,,
455.07,3.8833,,,
455.44,3.8861,,,
455.87,3.8893,,,
456.41,3.8937,,,
456.82,3.8967,,,
457.24,3.8998,,,
457.49,3.9024,,,
457.82,3.9049,,,
458.08,3.9061,,,
458.43,3.909,,,
459.11,3.9139,,,
459.46,3.9162,,,
459.71,3.9184,,,
460.19,3.9215,,,
460.53,3.9246,,,
460.94,3.9278,,,
461.21,3.9289,,,
461.46,3.9315,,,
461.98,3.9352,,,
462.31,3.938,,,
462.88,3.9424,,,
463.36,3.9452,,,
463.97,3.9498,,,
464.32,3.9521,,,
464.7,3.9551,,,
464.97,3.9569,,,
465.35,3.9596,,,
465.78,3.9626,,,
466.38,3.9667,,,
466.99,3.971,,,
467.3,3.9742,,,
467.57,3.9765,,,
468.14,3.9807,,,
468.44,3.983,,,
468.75,3.9854,,,
469.04,3.9865,,,
469.4,3.9891,,,
469.74,3.9927,,,
470.06,3.9952,,,
470.31,3.9965,,,
470.79,4.0011,,,
471.31,4.0039,,,
471.94,4.0092,,,
472.26,4.011,,,
472.59,4.0132,,,
472.94,4.0161,,,
473.23,4.0183,,,
473.66,4.0212,,,
474.16,4.0247,,,
474.79,4.0287,,,
475.19,4.0324,,,
475.53,4.0347,,,
476.05,4.0387,,,
476.3,4.0406,,,
477,4.0457,,,
477.41,4.0492,,,
477.76,4.0519,,,
478.25,4.0548,,,
478.56,4.0574,,,
479.03,4.0608,,,
479.28,4.0626,,,
479.68,4.0653,,,
479.98,4.0677,,,
480.47,4.0713,,,
480.72,4.0726,,,
480.97,4.0746,,,
481.72,4.0798,,,
482.37,4.085,,,
482.72,4.0881,,,
483.09,4.0898,,,
483.64,4.0945,,,
484.04,4.097,,,
484.35,4.0993,,,
484.62,4.1013,,,
485.19,4.1059,,,
485.52,4.1085,,,
485.79,4.1108,,,
486.17,4.113,,,
486.97,4.119,,,
487.22,4.12,,,
